Diffusion Tube ID,X OS Grid Ref (Easting),Y OS Grid Ref (Northing),Site Type,NO2_Before,NO2_After,Percentage Change (%)
586,358195.0,173018.0,Kerbside,41.8,34.5,-17.46411483253588
587,358802.0,172896.0,Roadside,30.9,28.6,-7.443365695792871
588,358739.0,172869.0,Roadside,31.5,28.75,-8.73015873015873
589,358849.0,173606.0,Roadside,27.2,20.9,-23.161764705882355
590,358789.0,173589.0,Roadside,40.7,30.15,-25.921375921375926
591,358805.0,173575.0,Roadside,33.1,24.25,-26.737160120845928
593,358610.0,173350.0,Roadside,36.3,24.3,-33.05785123966942
594,358540.0,173234.0,Roadside,34.1,25.05,-26.53958944281525
596,358431.0,173120.0,Roadside,31.2,24.15,-22.59615384615385
597,358403.0,173124.0,Roadside,33.0,21.25,-35.60606060606061
598,358061.0,173182.0,Roadside,26.8,21.8,-18.656716417910445
599,358135.0,173123.0,Roadside,31.0,28.7,-7.41935483870968
600,358322.0,172858.0,Roadside,23.9,21.4,-10.460251046025105
601,358563.0,172818.0,Roadside,30.8,26.45,-14.123376623376627
602,358469.0,172656.0,Roadside,42.7,33.7,-21.077283372365336
603,358767.0,173320.0,Roadside,41.9,34.75,-17.06443914081145
604,358817.0,173342.0,Roadside,43.1,37.2,-13.689095127610203
605,358718.0,173227.0,Roadside,30.2,26.35,-12.74834437086092
606,359124.0,172803.0,Roadside,25.7,23.1,-10.11673151750972
607,359183.0,172826.0,Roadside,28.4,22.35,-21.30281690140844
608,359563.0,172290.0,Kerbside,38.4,31.95,-16.796875
609,359740.0,172116.0,Roadside,30.4,25.049999999999997,-17.598684210526322
610,359967.0,171548.0,Roadside,32.4,25.450000000000003,-21.450617283950603
611,357425.0,170769.0,Roadside,20.1,15.9,-20.895522388059707
612,359206.0,173557.0,Roadside,30.9,24.35,-21.197411003236237
613,359316.0,173554.0,Kerbside,42.0,32.65,-22.261904761904766
614,359516.0,173374.0,Roadside,29.4,24.049999999999997,-18.19727891156463
615,359659.0,173688.0,Kerbside,49.4,37.75,-23.582995951417
616,359747.0,173717.0,Kerbside,42.5,31.5,-25.882352941176475
618,359086.0,174187.0,Roadside,31.5,30.85,-2.063492063492059
619,359119.0,174149.0,Roadside,38.2,33.650000000000006,-11.910994764397898
622,358059.0,170597.0,Roadside,34.3,28.6,-16.61807580174926
623,358034.0,170602.0,Roadside,28.4,24.450000000000003,-13.90845070422534
624,357858.0,170499.0,Roadside,48.4,38.75,-19.938016528925615
625,357842.0,170514.0,Roadside,44.7,35.25,-21.14093959731544
627,357829.0,170658.0,Roadside,33.3,28.549999999999997,-14.264264264264265
628,359899.0,174335.0,Roadside,33.2,29.05,-12.500000000000005
629,359956.0,174314.0,Roadside,34.8,30.65,-11.925287356321835
630,357533.0,170410.0,Roadside,35.5,25.5,-28.169014084507044
632,358073.0,171063.0,Roadside,24.6,22.35,-9.146341463414634
633,358217.0,171299.0,Roadside,34.6,32.3,-6.647398843930648
634,358772.0,171741.0,Roadside,30.1,27.1,-9.966777408637874
635,359106.0,171962.0,Kerbside,23.8,18.2,-23.529411764705888
636,359940.0,171838.0,Roadside,25.5,21.55,-15.49019607843137
637,361206.0,171390.0,Roadside,24.2,17.0,-29.752066115702476
638,359498.0,173144.0,Roadside,42.4,43.2,1.8867924528301987
639,359318.0,172634.0,Roadside,29.5,27.700000000000003,-6.101694915254228
640,359792.0,173319.0,Roadside,27.1,22.950000000000003,-15.31365313653136
641,359114.0,174007.0,Roadside,38.1,35.75,-6.1679790026246755
642,359276.0,174155.0,Roadside,24.6,23.799999999999997,-3.25203252032522
643,359817.0,174401.0,Kerbside,35.6,27.1,-23.876404494382022
644,359676.0,175102.0,Roadside,31.7,26.65,-15.930599369085177
645,359033.0,175259.0,Kerbside,28.9,27.8,-3.806228373702415
646,359038.0,174391.0,Kerbside,31.7,31.1,-1.8927444794952615
647,357124.0,172400.0,Roadside,30.9,22.95,-25.728155339805824
648,360905.0,170185.0,Roadside,29.2,25.55,-12.499999999999996
649,362089.0,170606.0,Roadside,30.0,25.9,-13.666666666666671
650,360818.0,170448.0,Roadside,21.6,19.450000000000003,-9.953703703703697
651,360938.0,173376.0,Roadside,33.9,27.6,-18.58407079646017
652,361119.0,173796.0,Roadside,37.0,31.849999999999998,-13.918918918918925
653,360515.0,174134.0,Roadside,30.9,29.85,-3.3980582524271754
654,360207.0,174403.0,Roadside,24.0,19.45,-18.958333333333336
655,361355.0,175203.0,Roadside,28.6,26.75,-6.468531468531473
656,361141.0,175446.0,Kerbside,27.3,22.15,-18.864468864468872
657,361676.0,175127.0,Roadside,33.5,24.4,-27.164179104477615
658,363325.0,175803.0,Roadside,24.1,21.549999999999997,-10.580912863070555
659,359773.0,176702.0,Kerbside,25.1,23.05,-8.167330677290838
660,360896.0,175312.0,Kerbside,32.4,27.9,-13.88888888888889
661,358022.0,175630.0,Kerbside,22.0,19.25,-12.5
662,357868.0,175723.0,Roadside,20.7,17.8,-14.009661835748785
663,357396.0,174761.0,Roadside,25.9,21.6,-16.60231660231659
664,357347.0,174992.0,Kerbside,24.8,20.5,-17.338709677419356
665,358675.0,173405.0,Roadside,37.1,27.55,-25.741239892183287
667,358531.0,172803.0,Kerbside,45.3,41.5,-8.388520971302423
669,359511.0,172754.0,Roadside,33.2,25.85,-22.138554216867472
670,361749.0,170690.0,Roadside,38.8,32.95,-15.077319587628851
671,357381.0,175781.0,Kerbside,23.5,21.05,-10.425531914893615
"673_1,673_2,673_3",358728.0,173520.0,Roadside,33.5,25.15,-24.925373134328364
674,363157.0,173215.0,Roadside,15.2,13.8,-9.210526315789465
675,361615.0,172728.0,Roadside,26.4,23.35,-11.553030303030292
676,361734.0,173291.0,Roadside,19.8,17.55,-11.363636363636363
677,362105.0,173350.0,Kerbside,21.4,16.4,-23.364485981308412
678,361279.0,173283.0,Roadside,17.7,14.8,-16.384180790960446
679,361134.0,173034.0,Kerbside,21.0,20.85,-0.7142857142857075
680,360973.0,173193.0,Roadside,20.8,19.2,-7.692307692307699
681,360985.0,173541.0,Roadside,24.8,22.049999999999997,-11.088709677419368
682,361359.0,173460.0,Kerbside,26.7,23.2,-13.108614232209739
683,361451.0,173617.0,Roadside,18.6,15.35,-17.473118279569903
684,361597.0,173622.0,Kerbside,20.1,16.15,-19.65174129353235
